price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6093731,13799,6,1,1,yes,no,no,no,no,0,no,furnished
6911321,14082,5,1,1,yes,no,yes,no,no,1,yes,semi-furnished
11220867,13193,3,2,2,yes,no,no,no,no,3,yes,semi-furnished
6842131,4327,5,3,2,yes,no,no,no,yes,1,no,furnished
6012988,5989,6,2,2,yes,no,no,no,no,2,no,furnished
9557721,10319,4,2,4,yes,no,no,no,yes,2,no,unfurnished
7364527,15912,2,2,1,yes,no,no,no,no,0,no,unfurnished
4652750,3053,1,1,1,yes,no,no,no,yes,2,no,unfurnished
5905947,5711,5,2,1,yes,no,no,no,yes,0,no,furnished
5589378,5631,5,2,4,yes,no,yes,no,no,1,no,unfurnished
10719666,15977,,2,2,no,no,no,no,yes,2,no,furnished
11629473,13062,4,1,3,no,no,no,no,yes,1,yes,furnished
4797208,2772,5,1,2,yes,no,yes,no,no,0,no,furnished
5050964,1802,3,4,1,yes,no,no,no,yes,1,yes,semi-furnished
4428113,3403,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
8354845,10839,6,2,3,yes,yes,no,no,no,3,no,unfurnished
10470747,11818,5,4,3,yes,no,yes,no,no,0,no,furnished
6731058,7378,2,1,4,yes,no,yes,yes,yes,1,no,furnished
9099631,8799,4,1,3,yes,no,no,no,yes,2,no,unfurnished
7873315,6994,5,1,3,yes,no,yes,no,no,2,no,furnished
6857581,10025,4,3,2,yes,no,no,no,yes,2,no,unfurnished
11087690,16168,1,2,3,yes,yes,no,no,yes,2,no,furnished
8504758,11687,5,1,4,yes,no,no,no,no,0,no,semi-furnished
4259997,3917,3,2,1,yes,no,yes,no,no,1,no,semi-furnished
7680680,9649,4,2,2,yes,no,yes,no,no,1,no,semi-furnished
6514308,9099,4,1,2,yes,no,no,no,no,1,no,semi-furnished
8092008,11829,2,4,1,yes,yes,no,no,yes,2,no,semi-furnished
5600692,3319,2,1,2,yes,no,no,no,no,2,no,semi-furnished
13335241,13238,6,4,4,yes,yes,no,no,no,2,no,semi-furnished
8426983,9748,4,1,1,no,yes,yes,no,no,2,no,semi-furnished
5871347,3174,4,4,1,yes,no,yes,no,no,2,no,semi-furnished
5036606,5195,6,1,2,yes,no,no,no,no,0,no,semi-furnished
4758242,3330,2,3,4,no,no,no,no,yes,0,no,semi-furnished
7131690,11583,1,2,3,yes,no,no,no,no,1,no,semi-furnished
7900724,9031,2,1,3,yes,no,yes,no,yes,3,no,unfurnished
5137611,8845,3,2,2,yes,no,no,no,no,1,no,unfurnished
9976812,11091,1,4,2,yes,no,no,no,no,0,no,semi-furnished
9502473,14979,3,3,3,yes,yes,yes,no,yes,3,no,unfurnished
8008269,6369,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
6859475,8457,3,2,2,yes,no,yes,no,no,2,no,furnished
8328475,7304,2,2,4,yes,no,no,no,no,2,yes,semi-furnished
9271639,15899,1,1,3,yes,no,yes,no,yes,0,no,unfurnished
9855635,15943,3,3,4,yes,no,yes,no,yes,0,no,semi-furnished
5797984,4435,5,2,2,yes,no,no,no,no,2,yes,semi-furnished
8923726,9134,4,3,2,yes,yes,no,no,yes,2,no,semi-furnished
5558291,11822,3,1,2,yes,no,no,no,yes,0,no,unfurnished
7299710,10347,,4,3,yes,no,yes,no,no,3,no,semi-furnished
9247255,11227,4,1,2,yes,no,no,no,no,2,no,unfurnished
5734681,3552,1,1,4,yes,no,yes,no,no,2,no,unfurnished
6126140,5518,2,2,4,no,yes,no,no,no,1,yes,semi-furnished
6685129,11257,1,,2,yes,no,yes,no,no,0,no,furnished
9858836,13802,3,1,2,yes,yes,yes,no,no,2,yes,unfurnished
7966923,6927,4,1,1,yes,yes,yes,no,no,1,no,unfurnished
9108018,16200,2,2,4,yes,no,no,no,yes,1,no,semi-furnished
10664999,12627,5,2,3,yes,no,no,no,no,2,yes,semi-furnished
8874764,14875,3,2,2,yes,no,no,no,no,2,yes,unfurnished
3866201,3153,1,1,1,yes,no,no,no,no,2,no,unfurnished
5424550,5181,4,2,2,yes,yes,no,no,no,1,no,semi-furnished
6473489,4528,4,,3,yes,no,yes,no,no,1,yes,unfurnished
9586229,15281,3,1,4,yes,no,no,no,no,1,no,semi-furnished
6469195,5521,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
8656138,7416,3,2,1,yes,no,no,no,no,0,no,furnished
9634161,9031,5,1,1,yes,no,yes,no,no,0,yes,unfurnished
5126214,2729,1,4,3,yes,no,no,no,no,2,no,semi-furnished
7126700,12629,3,4,2,yes,no,no,no,yes,2,no,semi-furnished
9190710,12495,1,2,1,yes,no,yes,no,yes,3,no,unfurnished
6874552,6720,2,2,2,no,no,no,no,no,2,no,semi-furnished
8352833,10735,6,2,3,no,no,no,no,yes,0,no,unfurnished
5791434,5328,4,1,3,yes,no,no,no,no,0,yes,semi-furnished
12065440,14366,5,2,1,yes,no,yes,no,no,1,yes,semi-furnished
4399779,2758,1,2,3,no,no,no,no,yes,3,no,unfurnished
4857048,3835,6,4,3,yes,no,no,no,no,1,no,semi-furnished
8020657,5800,5,2,4,yes,no,yes,no,yes,2,no,furnished
9477882,11520,4,1,3,no,yes,yes,no,yes,1,no,unfurnished
6188583,7602,1,1,3,yes,no,yes,yes,no,2,no,furnished
6337371,8171,5,1,3,yes,no,no,yes,yes,2,no,unfurnished
8811138,14929,6,2,1,yes,no,yes,no,yes,2,no,semi-furnished
7475654,11676,4,4,2,no,yes,no,no,no,1,no,unfurnished
